C:\Users\heyu1\miniconda3\envs\torch\python.exe C:/Users/heyu1/PycharmProjects/meta_learning/fl_2.py
the number of edge 60 
communicate round 360, total of 600, loss 0.0037396152038127184
communicate round 361, total of 600, loss 0.0038301865570247173
communicate round 362, total of 600, loss 0.003733865451067686
communicate round 363, total of 600, loss 0.0040018074214458466
communicate round 364, total of 600, loss 0.0037457344587892294
communicate round 365, total of 600, loss 0.0037221803795546293
communicate round 366, total of 600, loss 0.003783242078498006
communicate round 367, total of 600, loss 0.004093245603144169
communicate round 368, total of 600, loss 0.005518381483852863
communicate round 369, total of 600, loss 0.003921458963304758
communicate round 370, total of 600, loss 0.00383746181614697
communicate round 371, total of 600, loss 0.003841517958790064
communicate round 372, total of 600, loss 0.003814767813310027
communicate round 373, total of 600, loss 0.0038730702362954617
communicate round 374, total of 600, loss 0.004099894780665636
communicate round 375, total of 600, loss 0.004724555183202028
communicate round 376, total of 600, loss 0.0038503785617649555
communicate round 377, total of 600, loss 0.003834355855360627
communicate round 378, total of 600, loss 0.003865157486870885
communicate round 379, total of 600, loss 0.0038832915015518665
communicate round 380, total of 600, loss 0.00418583769351244
communicate round 381, total of 600, loss 0.00393633870407939
communicate round 382, total of 600, loss 0.004043825902044773
communicate round 383, total of 600, loss 0.005432602018117905
communicate round 384, total of 600, loss 0.003903623204678297
communicate round 385, total of 600, loss 0.0039323605597019196
communicate round 386, total of 600, loss 0.004254572559148073
communicate round 387, total of 600, loss 0.003769875271245837
communicate round 388, total of 600, loss 0.0039312634617090225
communicate round 389, total of 600, loss 0.003773364471271634
communicate round 390, total of 600, loss 0.0037881385069340467
communicate round 391, total of 600, loss 0.003847016952931881
communicate round 392, total of 600, loss 0.0038170376792550087
communicate round 393, total of 600, loss 0.004920502658933401
communicate round 394, total of 600, loss 0.003730571595951915
communicate round 395, total of 600, loss 0.0038122511468827724
communicate round 396, total of 600, loss 0.003836429910734296
communicate round 397, total of 600, loss 0.003747547511011362
communicate round 398, total of 600, loss 0.003802983555942774
communicate round 399, total of 600, loss 0.00405423529446125
communicate round 400, total of 600, loss 0.00401707086712122
communicate round 401, total of 600, loss 0.003752815304324031
communicate round 402, total of 600, loss 0.004649919457733631
communicate round 403, total of 600, loss 0.0037003164179623127
communicate round 404, total of 600, loss 0.0036677923053503036
communicate round 405, total of 600, loss 0.003821970196440816
communicate round 406, total of 600, loss 0.004665452521294355
communicate round 407, total of 600, loss 0.0037094727158546448
communicate round 408, total of 600, loss 0.0037096391897648573
communicate round 409, total of 600, loss 0.003716409672051668
communicate round 410, total of 600, loss 0.0042121089063584805
communicate round 411, total of 600, loss 0.004578134976327419
communicate round 412, total of 600, loss 0.005297193769365549
communicate round 413, total of 600, loss 0.0036558182910084724
communicate round 414, total of 600, loss 0.004321096930652857
communicate round 415, total of 600, loss 0.0038741668686270714
communicate round 416, total of 600, loss 0.0035982842091470957
communicate round 417, total of 600, loss 0.003796839853748679
communicate round 418, total of 600, loss 0.0036374591290950775
communicate round 419, total of 600, loss 0.005184916313737631
communicate round 420, total of 600, loss 0.0036220275796949863
communicate round 421, total of 600, loss 0.003833960508927703
communicate round 422, total of 600, loss 0.003679083427414298
communicate round 423, total of 600, loss 0.0036980004515498877
communicate round 424, total of 600, loss 0.00386071321554482
communicate round 425, total of 600, loss 0.0037359881680458784
communicate round 426, total of 600, loss 0.003751073032617569
communicate round 427, total of 600, loss 0.0038300734013319016
communicate round 428, total of 600, loss 0.0038760784082114697
communicate round 429, total of 600, loss 0.005630779545754194
communicate round 430, total of 600, loss 0.0036742514930665493
communicate round 431, total of 600, loss 0.004640384577214718
communicate round 432, total of 600, loss 0.0036895652301609516
communicate round 433, total of 600, loss 0.004073587711900473
communicate round 434, total of 600, loss 0.003601477248594165
communicate round 435, total of 600, loss 0.004586058668792248
communicate round 436, total of 600, loss 0.0036581740714609623
communicate round 437, total of 600, loss 0.003578964387997985
communicate round 438, total of 600, loss 0.003584875725209713
communicate round 439, total of 600, loss 0.0036786224227398634
communicate round 440, total of 600, loss 0.003574791131541133
communicate round 441, total of 600, loss 0.0037119139451533556
communicate round 442, total of 600, loss 0.003608615370467305
communicate round 443, total of 600, loss 0.0038022990338504314
communicate round 444, total of 600, loss 0.0036377962678670883
communicate round 445, total of 600, loss 0.0036550178192555904
communicate round 446, total of 600, loss 0.0036442906130105257
communicate round 447, total of 600, loss 0.0036324115935713053
communicate round 448, total of 600, loss 0.003814129391685128
communicate round 449, total of 600, loss 0.004212317522615194
communicate round 450, total of 600, loss 0.003762500360608101
communicate round 451, total of 600, loss 0.0036918797995895147
communicate round 452, total of 600, loss 0.003670984413474798
communicate round 453, total of 600, loss 0.004795813467353582
communicate round 454, total of 600, loss 0.0037150976713746786
communicate round 455, total of 600, loss 0.004062213934957981
communicate round 456, total of 600, loss 0.0037368163466453552
communicate round 457, total of 600, loss 0.0036586730275303125
communicate round 458, total of 600, loss 0.0036991199012845755
communicate round 459, total of 600, loss 0.0036976593546569347
communicate round 460, total of 600, loss 0.0037609979044646025
communicate round 461, total of 600, loss 0.004050153773277998
communicate round 462, total of 600, loss 0.004039777908474207
communicate round 463, total of 600, loss 0.004034008830785751
communicate round 464, total of 600, loss 0.0037787824403494596
communicate round 465, total of 600, loss 0.0037766266614198685
communicate round 466, total of 600, loss 0.0038005916867405176
communicate round 467, total of 600, loss 0.003985365852713585
communicate round 468, total of 600, loss 0.003818536177277565
communicate round 469, total of 600, loss 0.004018509294837713
communicate round 470, total of 600, loss 0.0038113100454211235
communicate round 471, total of 600, loss 0.0038364871870726347
communicate round 472, total of 600, loss 0.003866826882585883
communicate round 473, total of 600, loss 0.003946259152144194
communicate round 474, total of 600, loss 0.0040077040903270245
communicate round 475, total of 600, loss 0.003831236157566309
communicate round 476, total of 600, loss 0.0038735982961952686
communicate round 477, total of 600, loss 0.003833732334896922
communicate round 478, total of 600, loss 0.003966059070080519
communicate round 479, total of 600, loss 0.0039216298609972
communicate round 480, total of 600, loss 0.0038735729176551104
communicate round 481, total of 600, loss 0.0038924464024603367
communicate round 482, total of 600, loss 0.003879073541611433
communicate round 483, total of 600, loss 0.00443285284563899
communicate round 484, total of 600, loss 0.003876239061355591
communicate round 485, total of 600, loss 0.004125590901821852
communicate round 486, total of 600, loss 0.0038422683719545603
communicate round 487, total of 600, loss 0.003817088669165969
communicate round 488, total of 600, loss 0.006066123489290476
communicate round 489, total of 600, loss 0.003836530027911067
communicate round 490, total of 600, loss 0.0038234288804233074
communicate round 491, total of 600, loss 0.003821061458438635
communicate round 492, total of 600, loss 0.004179378971457481
communicate round 493, total of 600, loss 0.004434362053871155
communicate round 494, total of 600, loss 0.0040629031136631966
communicate round 495, total of 600, loss 0.0038335039280354977
communicate round 496, total of 600, loss 0.0038374504074454308
communicate round 497, total of 600, loss 0.003836416406556964
communicate round 498, total of 600, loss 0.00383723434060812
communicate round 499, total of 600, loss 0.00382571155205369
communicate round 500, total of 600, loss 0.0038575490470975637
communicate round 501, total of 600, loss 0.003953737672418356
communicate round 502, total of 600, loss 0.00412310566753149
communicate round 503, total of 600, loss 0.0038195722736418247
communicate round 504, total of 600, loss 0.004109349567443132
communicate round 505, total of 600, loss 0.003756325924769044
communicate round 506, total of 600, loss 0.004435516428202391
communicate round 507, total of 600, loss 0.0037077702581882477
communicate round 508, total of 600, loss 0.003776031080633402
communicate round 509, total of 600, loss 0.004182728007435799
communicate round 510, total of 600, loss 0.0038605891168117523
communicate round 511, total of 600, loss 0.0038873800076544285
communicate round 512, total of 600, loss 0.003777675563469529
communicate round 513, total of 600, loss 0.0038903302047401667
communicate round 514, total of 600, loss 0.0037521026097238064
communicate round 515, total of 600, loss 0.0037895813584327698
communicate round 516, total of 600, loss 0.003999043256044388
communicate round 517, total of 600, loss 0.0038049432914704084
communicate round 518, total of 600, loss 0.004341269377619028
communicate round 519, total of 600, loss 0.0037286141887307167
communicate round 520, total of 600, loss 0.003835931420326233
communicate round 521, total of 600, loss 0.004470397252589464
communicate round 522, total of 600, loss 0.0038153817877173424
communicate round 523, total of 600, loss 0.003837194060906768
communicate round 524, total of 600, loss 0.003909299615770578
communicate round 525, total of 600, loss 0.003866986371576786
communicate round 526, total of 600, loss 0.0038015630561858416
communicate round 527, total of 600, loss 0.004596699494868517
communicate round 528, total of 600, loss 0.003753200639039278
communicate round 529, total of 600, loss 0.0038387849926948547
communicate round 530, total of 600, loss 0.003765026107430458
communicate round 531, total of 600, loss 0.0037584013771265745
communicate round 532, total of 600, loss 0.0037962193600833416
communicate round 533, total of 600, loss 0.004273844417184591
communicate round 534, total of 600, loss 0.003851008601486683
communicate round 535, total of 600, loss 0.0036829307209700346
communicate round 536, total of 600, loss 0.0038806519005447626
communicate round 537, total of 600, loss 0.0037144904490560293
communicate round 538, total of 600, loss 0.003669662633910775
communicate round 539, total of 600, loss 0.0038026501424610615
communicate round 540, total of 600, loss 0.0038270330987870693
communicate round 541, total of 600, loss 0.003799810539931059
communicate round 542, total of 600, loss 0.0036712854634970427
communicate round 543, total of 600, loss 0.00369867286644876
communicate round 544, total of 600, loss 0.0036441299598664045
communicate round 545, total of 600, loss 0.0037054819986224174
communicate round 546, total of 600, loss 0.003995785489678383
communicate round 547, total of 600, loss 0.0036942476872354746
communicate round 548, total of 600, loss 0.003665338270366192
communicate round 549, total of 600, loss 0.003639878937974572
communicate round 550, total of 600, loss 0.0036194531712681055
communicate round 551, total of 600, loss 0.003631825093179941
communicate round 552, total of 600, loss 0.0036721627693623304
communicate round 553, total of 600, loss 0.0038776551373302937
communicate round 554, total of 600, loss 0.0036704079248011112
communicate round 555, total of 600, loss 0.003702647052705288
communicate round 556, total of 600, loss 0.003696449100971222
communicate round 557, total of 600, loss 0.003995848819613457
communicate round 558, total of 600, loss 0.0036837041843682528
communicate round 559, total of 600, loss 0.0044823987409472466
communicate round 560, total of 600, loss 0.0036932353395968676
